0	0.131	0.119	0.125
0.025	0.264	0.253	0.256
0.05	0.405	0.315	0.392
0.075	0.550	0.385	0.533
0.1	0.695	0.507	0.679
0.125	0.844	0.634	0.829
0.15	0.994	0.727	0.984
0.175	1.147	0.829	1.142
0.2	1.442	1.046	1.461
0.25	1.735	1.301	1.787
0.3	2.011	1.580	2.117
0.35	2.273	1.889	2.450
0.4	2.504	2.238	2.779
0.45	2.707	2.601	3.108
0.5	2.876	2.835	3.445
0.55	3.000	3.033	3.781
0.6	3.074	3.292	4.113
0.65	3.091	3.514	4.443
0.7	3.041	3.126	4.776
0.75	2.913	2.694	5.107
0.8	2.815	2.559	5.272
0.825	2.692	2.409	5.436
0.85	2.542	2.285	5.598
0.875	2.367	2.150	5.759
0.9	2.164	2.012	5.921
0.925	1.931	1.864	6.081
0.95	1.668	1.697	6.240
0.975	1.369	1.517	6.398
