3	0	0.2107
9	0	0.154
15	0	0.088
21	0	0.0353
27	0	0.0123
33	0	0.0034
39	0	0.0007
45	0	0.0001
51	0	0
57	0	0
63	0	0
69	0	0
75	0	0
81	0	0
87	0	0
93	0	0
99	0	0
105	0	0
111	0	0
117	0	0
123	0	0
129	0	0
135	0.0001	0
141	0.0017	0
147	0.0037	0
153	0.0096	0
159	0.0293	0
165	0.0657	0
171	0.1098	0
177	0.1621	0
183	0.1743	0
189	0.1651	0
195	0.1238	0
201	0.0875	0
207	0.0449	0
213	0.0195	0
219	0.0027	0
225	0.0002	0
231	0	0
237	0	0
243	0	0
249	0	0
255	0	0
261	0	0
267	0	0
273	0	0
279	0	0
285	0	0
291	0	0
297	0	0
303	0	0
309	0	0.0001
315	0	0.0002
321	0	0.0006
327	0	0.0025
333	0	0.0097
339	0	0.0326
345	0	0.0822
351	0	0.1503
357	0	0.2091v
