0.556	0.547
1.128	0.440000000000001
-0.307	0.43
-0.357	-0.157
2.408	3.325
-8.169	-8.48
0.506	3.088
-0.208	1.956
-0.71	-0.477
-0.304	-0.557
0.589	0.154
-0.128	1.832
0.224	2.779
0.324	2.47
-4.324	-2.659
-3.34	-4.495
-0.323	-2.678
-1.891	3.298
5.506	5.261
4.64	4.227
-4.549	-3.335
-0.468	1.991
-1.833	-1.765
-4.764	-4.758
0.102	0.182
4.911	3.815
-0.423	-2.567
-0.456	-3.212
-0.146	-0.303
-4.739	-4.499
-10.870	-15.591
1.410	2.773
-4.881	-5.029
-3.933	-5.629
0.443	-3.557
0.717	-0.501
0.989	1.955
0.223	2.673
0.941	3.503
1.112	2.058
-1.615	-3.195
1.171	2.773
-3.511	-2.086
2.551	1.637
1.929	0.150
-0.771	-2.658
-0.140	2.435
-3.148	-4.280
