0.556 0.13
1.128 -0.03
-0.307 0.24
-0.357 0.34
2.408 0.0600000000000001
-8.169 0.12
0.506 0.12
-0.208 -4.08
-0.71 -0.0900000000000001
-0.304 -0.09
0.589 0.59
-0.128 -1.55
0.224 0.66
0.324 -0.11
-4.324 0.3
-3.34 -0.64
-0.323 0.53
-1.891 2.02
5.506 4.11
4.64 -7.3
-4.549 1.35
-0.468 -0.12
-1.833 -0.07
-4.764 0.85
0.102 0.86
4.911 0.630000000000001
-0.423 0.0699999999999994
-0.456 0.0600000000000001
-0.146 0
-4.739 -0.0299999999999998
-10.870 -0.0299999999999998
1.410 -0.0900000000000001
-4.881 -0.02
-3.933 -0.02
0.443 -0.04
0.717 0.0199999999999999
0.989 -0.26
0.223 1.89
0.941 0.53
1.112 2.1
-1.615 0.86
1.171 -0.0900000000000001
-3.511 0
2.551 1.04
1.929 1.05
-0.771 0.13
-0.140 0.3
-3.148 0.1
-0.691 0.409999999999998
-2.052 -3.07
-0.930 -1.23
-1.360 -0.789999999999999
-1.11 -1.21
-1.425 -1.34
-0.616 -1.42
-0.807 -2.02
-0.618 0.0399999999999991
-4.032 -0.0500000000000007
