0.000 0.89656	0.885
10.000 0.82333	0.828
20.000 0.74867	0.778
30.000 0.87382	0.916
40.000 1.28274	1.299
50.000 1.95718	1.939
60.000 2.80721	2.755
70.000 3.69181	3.633
80.000 4.43460	4.393
90.000 4.85155	4.851
100.000 4.82316	4.876
110.000 4.37101	4.443
120.000 3.62187	3.671
130.000 2.73006	2.736
140.000 1.83911	1.807
150.000 1.06336	1.017
160.000 0.47795	0.446
170.000 0.11980	0.107
180.000 0.00000	0.000
190.000 0.11980	0.107
200.000 0.47795	0.446
210.000 1.06336	1.017
220.000 1.83911	1.807
230.000 2.73006	2.736
240.000 3.62187	3.671
250.000 4.37101	4.443
260.000 4.82316	4.876
270.000 4.85155	4.851
280.000 4.43460	4.393
290.000 3.69181	3.633
300.000 2.80721	2.755
310.000 1.95718	1.939
320.000 1.28274	1.299
330.000 0.87382	0.916
340.000 0.74867	0.778
350.000 0.82333	0.828
360.000 0.89656	0.885
