0.000 0.00000	1.086
10.000 0.17307	0.904
20.000 0.68893	0.577
30.000 1.53715	0.251
40.000 2.69871	0.038
50.000 4.14213	0.000
60.000 5.81804	0.144
70.000 7.65747	0.446
80.000 9.57704	0.803
90.000 11.47460	1.098
100.000 13.20882	1.230
110.000 14.54280	1.199
120.000 6.78961	1.067
130.000 5.39394	0.910
140.000 4.15583	0.778
150.000 3.12921	0.690
160.000 2.36003	0.659
170.000 1.88362	0.659
180.000 1.72228	0.665
190.000 1.88362	0.659
200.000 2.36003	0.659
210.000 3.12921	0.690
220.000 4.15583	0.778
230.000 5.39394	0.910
240.000 6.78961	1.067
250.000 8.28264	1.199
260.000 9.80477	1.230
270.000 11.26929	1.098
280.000 12.54201	0.803
290.000 7.65747	0.446
300.000 5.81804	0.144
310.000 4.14213	0.000
320.000 2.69871	0.038
330.000 1.53715	0.251
340.000 0.68893	0.577
350.000 0.17307	0.904
360.000 0.00000	1.086
