0	-90.5805843075034	-80.4017767430873	0
0.1	-90.3407549327719	-80.3421210997254	-13.463098134631
0.2	-89.4962868498904	-80.0484065840665	-26.926196269262
0.3	-87.9086047443862	-79.4599985141298	-40.389294403893
0.4	-85.3398068387984	-78.4963711094863	-53.852392538524
0.5	-81.7232374115229	-77.0759726871894	-67.315490673155
0.6	-76.652837878242	-74.6976657861296	-80.778588807786
0.7	-70.2616762925736	-71.5106617415849	-94.241686942417
0.8	-61.8420115284188	-67.5426117917131	-107.704785077048
0.9	-51.9052461662132	-62.7409018476881	-121.167883211679
1	-45.0818616298336	-57.9441182584956	-134.63098134631
